country,date,industrial_production_rate
Netherlands,2020,-3.3
Netherlands,2021,3.9
Netherlands,2022,3.9
Netherlands,2023,-1.1
Netherlands,2024,-2.3
Austria,2015,1.8
Austria,2016,2.1
Austria,2017,5.8
Austria,2018,5.0
Austria,2019,0.0
Austria,2020,-6.0
Austria,2021,11.3
Austria,2022,6.9
Austria,2023,0.1
Austria,2024,-4.9
Poland,2015,4.6
Poland,2016,3.1
Poland,2017,6.8
Poland,2018,5.8
Poland,2019,4.2
Poland,2020,-1.9
Poland,2021,14.8
Poland,2022,10.5
Poland,2023,-1.0
Poland,2024,0.5
Portugal,2015,2.0
Portugal,2016,1.6
Portugal,2017,2.2
Portugal,2018,0.3
Portugal,2019,-2.2
Portugal,2020,-8.1
Portugal,2021,3.8
Portugal,2022,0.6
Portugal,2023,-3.1
Portugal,2024,0.5
Romania,2015,2.7
Romania,2016,2.9
Romania,2017,8.7
Romania,2018,3.4
Romania,2019,-2.6
Romania,2020,-9.2
Romania,2021,6.4
Romania,2022,1.0
Romania,2023,-2.5
Romania,2024,-1.7
Slovenia,2015,4.8
Slovenia,2016,7.7
Slovenia,2017,8.2
Slovenia,2018,5.3
Slovenia,2019,2.8
Slovenia,2020,-6.4
Slovenia,2021,10.0
Slovenia,2022,2.0
Slovenia,2023,-4.9
Slovenia,2024,-1.2
Slovakia,2015,5.1
Slovakia,2016,0.6
Slovakia,2017,1.4
Slovakia,2018,-3.4
Slovakia,2019,-6.1
Slovakia,2020,-8.9
Slovakia,2021,11.1
Slovakia,2022,-4.4
Slovakia,2023,4.2
Slovakia,2024,0.1
Finland,2015,-0.9
Finland,2016,4.1
Finland,2017,3.5
Finland,2018,3.3
Finland,2019,1.6
Finland,2020,-3.3
Finland,2021,4.3
Finland,2022,3.8
Finland,2023,-2.1
Finland,2024,-1.0
Sweden,2015,2.8
Sweden,2016,1.6
Sweden,2017,4.8
Sweden,2018,2.8
Sweden,2019,2.4
Sweden,2020,-4.6
Sweden,2021,6.5
Sweden,2022,2.2
Sweden,2023,0.1
Sweden,2024,-0.3
Norway,2015,1.1
Norway,2016,-1.4
Norway,2017,-0.2
Norway,2018,-1.8
Norway,2019,-4.0
Norway,2020,6.0
Norway,2021,2.5
Norway,2022,-0.4
Norway,2023,0.2
Norway,2024,4.7
Switzerland,2015,-1.8
Switzerland,2016,0.4
Switzerland,2017,5.4
Switzerland,2018,4.7
Switzerland,2019,4.1
Switzerland,2020,-4.0
Switzerland,2021,8.5
Switzerland,2022,6.1
Switzerland,2023,0.8
Switzerland,2024,2.4
Bosnia and Herzegovina,2015,2.8
Bosnia and Herzegovina,2016,4.4
Bosnia and Herzegovina,2017,3.2
Bosnia and Herzegovina,2018,1.6
Bosnia and Herzegovina,2019,-5.4
Bosnia and Herzegovina,2020,-6.5
Bosnia and Herzegovina,2021,9.7
Bosnia and Herzegovina,2022,1.0
Bosnia and Herzegovina,2023,-3.9
Bosnia and Herzegovina,2024,-4.0
Montenegro,2015,8.5
Montenegro,2016,-3.0
Montenegro,2017,-4.2
Montenegro,2018,22.2
Montenegro,2019,-6.0
Montenegro,2020,-1.2
Montenegro,2021,4.6
Montenegro,2022,-2.7
Montenegro,2023,6.3
Montenegro,2024,-0.1
North Macedonia,2015,4.9
North Macedonia,2016,3.3
North Macedonia,2017,0.2
North Macedonia,2018,5.4
North Macedonia,2019,3.7
North Macedonia,2020,-9.5
North Macedonia,2021,1.4
North Macedonia,2022,-0.2
North Macedonia,2023,0.6
North Macedonia,2024,-3.6
Serbia,2015,7.6
Serbia,2016,4.5
Serbia,2017,4.5
Serbia,2018,1.1
Serbia,2019,0.3
Serbia,2020,-0.7
Serbia,2021,6.7
Serbia,2022,2.1
Serbia,2023,2.8
Serbia,2024,2.7
Türkiye,2015,5.7
Türkiye,2016,3.5
Türkiye,2017,8.9
Türkiye,2018,1.3
Türkiye,2019,-0.5
Türkiye,2020,1.6
Türkiye,2021,17.5
Türkiye,2022,4.4
Türkiye,2023,1.6
Türkiye,2024,0.4
